trajectory_id,family,dimension,rtol,decision_accepted_step,target_attempt_index,target_accepted_steps_before,t_start,h,target_r_error_norm,zeta23,zeta34,relative_drift,stage_log_curvature_kappa234,remainder_chi34,rho2,rho3,rho4,audit_full_e_total_error,audit_full_e_locally_admissible,unsafe,actual_prefix_jvp_vectors
rotating-nonnormal-n256,rotating-nonnormal,256,3e-05,55,58,56,0.8195596319218308,0.009215171173720907,0.14086556746443646,0.8442928179184912,0.91500085046208,0.040191148194533954,-0.03556176451699389,0.9999617480697535,8.4306661871879,32.49653097179095,99.92269545638173,0.1638675457816594,True,False,23
rotating-nonnormal-n256,rotating-nonnormal,256,3e-05,75,78,76,0.9943861530745877,0.005613846925412336,0.057491649647632724,0.43013181818437807,0.6278712823438235,0.18689875678126577,-0.022509235178964193,0.9999781088978681,2.5071367745969746,9.828539603395468,30.893624665949883,0.04004774708268026,True,False,21
rotating-nonnormal-n96,rotating-nonnormal,96,3e-06,9,11,10,0.19411407405046793,0.01573045394904924,0.22934600902886867,0.46806205812649493,0.7770010569811382,0.2481311952028521,-0.003575597051433954,0.9999931624478603,11.909707025964687,47.48511355251586,153.1085701386557,0.06614569409422703,True,False,17
rotating-nonnormal-n96,rotating-nonnormal,96,3e-06,27,29,28,0.4536169689530036,0.00938814929566248,0.23144657327813417,15.99880285879919,19.13442670581303,0.08924951921220994,-0.025035027128118115,0.9998784506230626,24.76773588742196,87.69474910951047,252.46847248917985,0.5540749088583444,True,False,19
rotating-nonnormal-n96,rotating-nonnormal,96,3e-06,39,41,40,0.5444815465328785,0.005698562784895704,0.1986986915347013,2.8701789524010555,3.915005576814972,0.15398647154178985,-0.0057929257435815895,0.9999723456559598,13.714398768562887,54.2958089109695,173.79673355445033,0.3000131267757651,True,False,21
rotating-nonnormal-n96,rotating-nonnormal,96,3e-06,59,61,60,0.6436421788159089,0.0039591495130095414,0.12445591386148226,0.593240319791164,1.004037703992357,0.25718589881311,-0.032432086035561136,0.9999983618736642,12.168551931866876,46.9593265140958,144.80333872122867,0.17171523697191207,True,False,21
rotating-nonnormal-n96,rotating-nonnormal,96,3e-06,92,94,93,0.8058257544933122,0.004859961352970985,0.17150665697812875,0.5680701735728505,0.6320276902265786,0.05329358428423735,-0.04171068988075666,0.9999918056197782,19.479342770744868,74.93381689009523,229.190317936303,0.12201707715848431,True,False,21
rotating-nonnormal-n96,rotating-nonnormal,96,3e-06,128,130,129,0.9841969809629966,0.0038819118888389547,0.1542817071731676,1.4524890759684548,2.042383913398284,0.16878863387156073,-0.03672721044682414,0.9999899638972735,10.870062439166315,42.04742654519747,129.58908275334477,0.08344886216233761,True,False,21
semilinear-advection-diffusion-ramped-n256,semilinear-advection-diffusion-ramped,256,3e-05,16,19,17,0.7606516690287735,0.02140633176279981,0.14848395594221364,0.048057608571225346,0.06718411902091964,0.16596861960786832,-0.000468878097313441,0.9999952214258744,0.6654587358401822,2.6559816480048895,8.58696433586245,0.010356490845146612,True,False,43
semilinear-advection-diffusion-ramped-n96,semilinear-advection-diffusion-ramped,96,3e-06,19,23,20,0.7569562637411863,0.023149159121860347,0.15522007951700315,0.2989799050844328,0.4185349843073994,0.16662383037695824,-0.0022308027005659703,0.9999998307189385,7.543756834945423,30.10294510358116,97.20838591769221,0.03130775917656676,True,False,31
van-der-pol-ramped-n256,van-der-pol-ramped,256,3e-05,4,7,5,0.10553109227247634,0.02523870493443927,0.028000025931421542,0.5359184878575396,0.9243144543851679,0.2659821972863508,0.07809419541895135,0.9999995456748552,0.5108500594092514,2.167205357147306,7.727585813084875,0.018896246566391408,True,False,19
van-der-pol-ramped-n256,van-der-pol-ramped,256,3e-05,22,29,23,0.46906665944625486,0.011690384109378936,0.08371816070752547,43.16209407002758,42.79736281491357,-0.0042430614190851704,-0.013026108745071152,0.9999999992135792,66.8765012112986,256.71562313798637,797.092770114535,2.9733214588522463,False,True,21
van-der-pol-ramped-n256,van-der-pol-ramped,256,3e-05,29,36,30,0.5483910513294966,0.010426085676825216,0.10569464617175177,8.959648719755796,10.78074682166619,0.09225236131105469,-0.01956988299735074,0.9999999999848919,19.518749213945583,75.8350920280846,236.97329334632934,0.2621078637293579,True,False,21
van-der-pol-ramped-n96,van-der-pol-ramped,96,3e-06,4,7,5,0.06353015251282892,0.01376568291560599,0.05805692202554807,0.3600283294063023,0.5593387933691755,0.2167909413175171,0.12125295686547011,0.9975434531894842,0.039270869587721614,0.24270227358360139,1.221222408958723,0.0019965305149132733,True,False,19
van-der-pol-ramped-n96,van-der-pol-ramped,96,3e-06,22,27,23,0.363423288471209,0.009532147776062668,0.09326845348443262,34.9082525168945,57.09852190472827,0.24118082094853632,0.06811545139203279,0.99999830762405,35.35348697676075,150.13884756918088,532.6902091734763,0.3302266177076156,True,False,19
van-der-pol-ramped-n96,van-der-pol-ramped,96,3e-06,30,36,31,0.4188675913504136,0.004504958011531745,0.4654273019417884,4.195133291893624,5.612184889585887,0.14448920402809745,-0.007387260450153477,0.9999999946874131,30.527103717458896,121.05964010888248,387.6875418832432,0.28044698739497553,True,False,21
van-der-pol-ramped-n96,van-der-pol-ramped,96,3e-06,90,96,91,0.9142289782433473,0.07497603667548904,0.0011687400970941885,18.85619315124602,23.009713274329915,0.09921008471338155,-0.1408650502745108,0.9999999999966034,9.09496886184976,31.66575136690523,83.9587306202895,0.054025407828413696,True,False,21
